id_shop_default;id_product;id_product_attribute;name;id_supplier;supplier_name;supplier_reference;id_manufacturer;manufacturer_name;id_tax;tax_rate;id_category_default;all_categories_ID;all_categories_Name;on_sale;online_only;ean13;upc;ecotax;quantity;minimal_quantity;wholesale_price;price;price_vat;price_discounted;discount_amount;unity;unit_price_ratio;additional_shipping_cost;reference;location;width;height;depth;weight;out_of_stock;quantity_discount;uploadable_files;text_fields;active;available_for_order;available_date;condition;show_price;indexed;visibility;cache_is_pack;cache_has_attachments;is_virtual;cache_default_attribute;date_add;date_upd;advanced_stock_management;description;description_short;url_product;url_image;link_rewrite;meta_description;meta_keywords;meta_title;features;available_now;available_later;Currency
1;8;0;iPhone 6s;0;;;2;Apple;53;0;3;2,3;Home,Refurbished;0;0;;;0.000000;100;1;150;160;0;0;0;;0.000000;0.00;18;;0.000000;0.000000;0.000000;0.000000;2;0;1;0;1;1;0000-00-00;used;1;1;both;0;0;0;4319;15/11/2017 15:59;30/01/2018 09:20;1;;;https://b2b-next.lesastucesdupro.info/en/refurbished/8-iphone-6s.html;http://b2b-next.lesastucesdupro.info/img/p/3/5/9/359-large_default.jpg;iphone-6s;;;;;;;0.90
1;8;4319;iPhone 6s - Color - Silver, Version - A1633, Grade - A, Capacite - 16 GB;0;;;2;Apple;53;0;3;2,3;Home,Refurbished;0;0;;;0.000000;100;1;150;160;0;0;0;;0.000000;0.00;18-A164319;;0.000000;0.000000;0.000000;0.000000;2;0;1;0;1;1;0000-00-00;used;1;1;both;0;0;0;4319;15/11/2017 15:59;30/01/2018 09:20;1;;;https://b2b-next.lesastucesdupro.info/en/refurbished/8-iphone-6s.html;http://b2b-next.lesastucesdupro.info/img/p/3/7/1/371-large_default.jpg;iphone-6s;;;;;;;0.90
1;8;4320;iPhone 6s - Color - Silver, Version - A1633, Grade - A, Capacite - 32 GB;0;;;2;Apple;53;0;3;2,3;Home,Refurbished;0;0;;;0.000000;100;1;150;160;0;0;0;;0.000000;0.00;18-A164320;;0.000000;0.000000;0.000000;0.000000;2;0;1;0;1;1;0000-00-00;used;1;1;both;0;0;0;4319;15/11/2017 15:59;30/01/2018 09:20;1;;;https://b2b-next.lesastucesdupro.info/en/refurbished/8-iphone-6s.html;http://b2b-next.lesastucesdupro.info/img/p/3/7/1/371-large_default.jpg;iphone-6s;;;;;;;0.90
1;8;4321;iPhone 6s - Color - Silver, Version - A1633, Grade - A, Capacite - 64 GB;0;;;2;Apple;53;0;3;2,3;Home,Refurbished;0;0;;;0.000000;100;1;150;160;0;0;0;;0.000000;0.00;18-A164321;;0.000000;0.000000;0.000000;0.000000;2;0;1;0;1;1;0000-00-00;used;1;1;both;0;0;0;4319;15/11/2017 15:59;30/01/2018 09:20;1;;;https://b2b-next.lesastucesdupro.info/en/refurbished/8-iphone-6s.html;http://b2b-next.lesastucesdupro.info/img/p/3/7/1/371-large_default.jpg;iphone-6s;;;;;;;0.90
1;8;4322;iPhone 6s - Color - Silver, Version - A1633, Grade - A, Capacite - 128 GB;0;;;2;Apple;53;0;3;2,3;Home,Refurbished;0;0;;;0.000000;100;1;150;160;0;0;0;;0.000000;0.00;18-A164322;;0.000000;0.000000;0.000000;0.000000;2;0;1;0;1;1;0000-00-00;used;1;1;both;0;0;0;4319;15/11/2017 15:59;30/01/2018 09:20;1;;;https://b2b-next.lesastucesdupro.info/en/refurbished/8-iphone-6s.html;http://b2b-next.lesastucesdupro.info/img/p/3/7/1/371-large_default.jpg;iphone-6s;;;;;;;0.90
1;8;4323;iPhone 6s - Color - Space Gray, Version - A1633, Grade - A, Capacite - 16 GB;0;;;2;Apple;53;0;3;2,3;Home,Refurbished;0;0;;;0.000000;100;1;150;160;0;0;0;;0.000000;0.00;18-A164323;;0.000000;0.000000;0.000000;0.000000;2;0;1;0;1;1;0000-00-00;used;1;1;both;0;0;0;4319;15/11/2017 15:59;30/01/2018 09:20;1;;;https://b2b-next.lesastucesdupro.info/en/refurbished/8-iphone-6s.html;http://b2b-next.lesastucesdupro.info/img/p/3/5/9/359-large_default.jpg;iphone-6s;;;;;;;0.90
1;8;4324;iPhone 6s - Color - Space Gray, Version - A1633, Grade - A, Capacite - 32 GB;0;;;2;Apple;53;0;3;2,3;Home,Refurbished;0;0;;;0.000000;100;1;150;160;0;0;0;;0.000000;0.00;18-A164324;;0.000000;0.000000;0.000000;0.000000;2;0;1;0;1;1;0000-00-00;used;1;1;both;0;0;0;4319;15/11/2017 15:59;30/01/2018 09:20;1;;;https://b2b-next.lesastucesdupro.info/en/refurbished/8-iphone-6s.html;http://b2b-next.lesastucesdupro.info/img/p/3/5/9/359-large_default.jpg;iphone-6s;;;;;;;
1;8;4325;iPhone 6s - Color - Space Gray, Version - A1633, Grade - A, Capacite - 64 GB;0;;;2;Apple;53;0;3;2,3;Home,Refurbished;0;0;;;0.000000;100;1;150;160;0;0;0;;0.000000;0.00;18-A164325;;0.000000;0.000000;0.000000;0.000000;2;0;1;0;1;1;0000-00-00;used;1;1;both;0;0;0;4319;15/11/2017 15:59;30/01/2018 09:20;1;;;https://b2b-next.lesastucesdupro.info/en/refurbished/8-iphone-6s.html;http://b2b-next.lesastucesdupro.info/img/p/3/5/9/359-large_default.jpg;iphone-6s;;;;;;;
1;8;4326;iPhone 6s - Color - Space Gray, Version - A1633, Grade - A, Capacite - 128 GB;0;;;2;Apple;53;0;3;2,3;Home,Refurbished;0;0;;;0.000000;100;1;150;160;0;0;0;;0.000000;0.00;18-A164326;;0.000000;0.000000;0.000000;0.000000;2;0;1;0;1;1;0000-00-00;used;1;1;both;0;0;0;4319;15/11/2017 15:59;30/01/2018 09:20;1;;;https://b2b-next.lesastucesdupro.info/en/refurbished/8-iphone-6s.html;http://b2b-next.lesastucesdupro.info/img/p/3/5/9/359-large_default.jpg;iphone-6s;;;;;;;
1;8;4327;iPhone 6s - Color - Gold, Version - A1633, Grade - A, Capacite - 16 GB;0;;;2;Apple;53;0;3;2,3;Home,Refurbished;0;0;;;0.000000;100;1;150;160;0;0;0;;0.000000;0.00;18-A164327;;0.000000;0.000000;0.000000;0.000000;2;0;1;0;1;1;0000-00-00;used;1;1;both;0;0;0;4319;15/11/2017 15:59;30/01/2018 09:20;1;;;https://b2b-next.lesastucesdupro.info/en/refurbished/8-iphone-6s.html;http://b2b-next.lesastucesdupro.info/img/p/3/6/3/363-large_default.jpg;iphone-6s;;;;;;;
1;8;4328;iPhone 6s - Color - Gold, Version - A1633, Grade - A, Capacite - 32 GB;0;;;2;Apple;53;0;3;2,3;Home,Refurbished;0;0;;;0.000000;100;1;150;160;0;0;0;;0.000000;0.00;18-A164328;;0.000000;0.000000;0.000000;0.000000;2;0;1;0;1;1;0000-00-00;used;1;1;both;0;0;0;4319;15/11/2017 15:59;30/01/2018 09:20;1;;;https://b2b-next.lesastucesdupro.info/en/refurbished/8-iphone-6s.html;http://b2b-next.lesastucesdupro.info/img/p/3/6/3/363-large_default.jpg;iphone-6s;;;;;;;
1;8;4329;iPhone 6s - Color - Gold, Version - A1633, Grade - A, Capacite - 64 GB;0;;;2;Apple;53;0;3;2,3;Home,Refurbished;0;0;;;0.000000;100;1;150;160;0;0;0;;0.000000;0.00;18-A164329;;0.000000;0.000000;0.000000;0.000000;2;0;1;0;1;1;0000-00-00;used;1;1;both;0;0;0;4319;15/11/2017 15:59;30/01/2018 09:20;1;;;https://b2b-next.lesastucesdupro.info/en/refurbished/8-iphone-6s.html;http://b2b-next.lesastucesdupro.info/img/p/3/6/3/363-large_default.jpg;iphone-6s;;;;;;;
1;8;4330;iPhone 6s - Color - Gold, Version - A1633, Grade - A, Capacite - 128 GB;0;;;2;Apple;53;0;3;2,3;Home,Refurbished;0;0;;;0.000000;100;1;150;160;0;0;0;;0.000000;0.00;18-A164330;;0.000000;0.000000;0.000000;0.000000;2;0;1;0;1;1;0000-00-00;used;1;1;both;0;0;0;4319;15/11/2017 15:59;30/01/2018 09:20;1;;;https://b2b-next.lesastucesdupro.info/en/refurbished/8-iphone-6s.html;http://b2b-next.lesastucesdupro.info/img/p/3/6/3/363-large_default.jpg;iphone-6s;;;;;;;
1;8;4331;iPhone 6s - Color - Rose Gold, Version - A1633, Grade - A, Capacite - 16 GB;0;;;2;Apple;53;0;3;2,3;Home,Refurbished;0;0;;;0.000000;100;1;150;160;0;0;0;;0.000000;0.00;18-A164331;;0.000000;0.000000;0.000000;0.000000;2;0;1;0;1;1;0000-00-00;used;1;1;both;0;0;0;4319;15/11/2017 15:59;30/01/2018 09:20;1;;;https://b2b-next.lesastucesdupro.info/en/refurbished/8-iphone-6s.html;http://b2b-next.lesastucesdupro.info/img/p/4/8/7/487-large_default.jpg;iphone-6s;;;;;;;
1;8;4332;iPhone 6s - Color - Rose Gold, Version - A1633, Grade - A, Capacite - 32 GB;0;;;2;Apple;53;0;3;2,3;Home,Refurbished;0;0;;;0.000000;100;1;150;160;0;0;0;;0.000000;0.00;18-A164332;;0.000000;0.000000;0.000000;0.000000;2;0;1;0;1;1;0000-00-00;used;1;1;both;0;0;0;4319;15/11/2017 15:59;30/01/2018 09:20;1;;;https://b2b-next.lesastucesdupro.info/en/refurbished/8-iphone-6s.html;http://b2b-next.lesastucesdupro.info/img/p/4/8/7/487-large_default.jpg;iphone-6s;;;;;;;
1;8;4333;iPhone 6s - Color - Rose Gold, Version - A1633, Grade - A, Capacite - 64 GB;0;;;2;Apple;53;0;3;2,3;Home,Refurbished;0;0;;;0.000000;100;1;150;160;0;0;0;;0.000000;0.00;18-A164333;;0.000000;0.000000;0.000000;0.000000;2;0;1;0;1;1;0000-00-00;used;1;1;both;0;0;0;4319;15/11/2017 15:59;30/01/2018 09:20;1;;;https://b2b-next.lesastucesdupro.info/en/refurbished/8-iphone-6s.html;http://b2b-next.lesastucesdupro.info/img/p/4/8/7/487-large_default.jpg;iphone-6s;;;;;;;
