id_shop_default;id_product;id_product_attribute;name;id_supplier;supplier_name;supplier_reference;id_manufacturer;manufacturer_name;id_tax;tax_rate;id_category_default;all_categories_ID;all_categories_Name;on_sale;online_only;ean13;upc;ecotax;quantity;minimal_quantity;wholesale_price;price;price_vat;price_discounted;discount_amount;unity;unit_price_ratio;additional_shipping_cost;reference;location;width;height;depth;weight;out_of_stock;quantity_discount;uploadable_files;text_fields;active;available_for_order;available_date;condition;show_price;indexed;visibility;cache_is_pack;cache_has_attachments;is_virtual;cache_default_attribute;date_add;date_upd;advanced_stock_management;description;description_short;url_product;url_image;link_rewrite;meta_description;meta_keywords;meta_title;features;available_now;available_later
1;8;0;iPhone 6s;0;;;2;Apple;53;0;3;2,3;Home,Refurbished;0;0;;;0.000000;2;1;200;214;214;229;0;;0.000000;0.00;18;;0.000000;0.000000;0.000000;0.000000;2;0;1;0;1;1;0000-00-00;used;1;1;both;0;0;0;4057;15/11/2017 15:59;26/01/2018 12:08;1;;;https://b2b-next.lesastucesdupro.info/en/refurbished/8-iphone-6s.html;http://b2b-next.lesastucesdupro.info/img/p/3/5/9/359-large_default.jpg;iphone-6s;;;;;;
1;8;4057;iPhone 6s - Color - Silver, Version - A1633, Grade - A, Capacite - 16 GB;0;;;2;Apple;53;0;3;2,3;Home,Refurbished;0;0;;;0.000000;200;1;200;229;229;229;0;;0.000000;0.00;18-A164057;;0.000000;0.000000;0.000000;0.000000;2;0;1;0;1;1;0000-00-00;used;1;1;both;0;0;0;4057;15/11/2017 15:59;26/01/2018 12:08;1;;;https://b2b-next.lesastucesdupro.info/en/refurbished/8-iphone-6s.html;http://b2b-next.lesastucesdupro.info/img/p/-large_default.jpg;iphone-6s;;;;;;
1;8;4058;iPhone 6s - Color - Silver, Version - A1633, Grade - A, Capacite - 32 GB;0;;;2;Apple;53;0;3;2,3;Home,Refurbished;0;0;;;0.000000;200;1;200;239;239;239;0;;0.000000;0.00;18-A164058;;0.000000;0.000000;0.000000;0.000000;2;0;1;0;1;1;0000-00-00;used;1;1;both;0;0;0;4057;15/11/2017 15:59;26/01/2018 12:08;1;;;https://b2b-next.lesastucesdupro.info/en/refurbished/8-iphone-6s.html;http://b2b-next.lesastucesdupro.info/img/p/-large_default.jpg;iphone-6s;;;;;;
1;8;4059;iPhone 6s - Color - Silver, Version - A1633, Grade - A, Capacite - 64 GB;0;;;2;Apple;53;0;3;2,3;Home,Refurbished;0;0;;;0.000000;200;1;200;249;249;249;0;;0.000000;0.00;18-A164059;;0.000000;0.000000;0.000000;0.000000;2;0;1;0;1;1;0000-00-00;used;1;1;both;0;0;0;4057;15/11/2017 15:59;26/01/2018 12:08;1;;;https://b2b-next.lesastucesdupro.info/en/refurbished/8-iphone-6s.html;http://b2b-next.lesastucesdupro.info/img/p/-large_default.jpg;iphone-6s;;;;;;
1;8;4060;iPhone 6s - Color - Silver, Version - A1633, Grade - A, Capacite - 128 GB;0;;;2;Apple;53;0;3;2,3;Home,Refurbished;0;0;;;0.000000;200;1;200;259;259;259;0;;0.000000;0.00;18-A164060;;0.000000;0.000000;0.000000;0.000000;2;0;1;0;1;1;0000-00-00;used;1;1;both;0;0;0;4057;15/11/2017 15:59;26/01/2018 12:08;1;;;https://b2b-next.lesastucesdupro.info/en/refurbished/8-iphone-6s.html;http://b2b-next.lesastucesdupro.info/img/p/-large_default.jpg;iphone-6s;;;;;;
1;8;4061;iPhone 6s - Color - Space Gray, Version - A1633, Grade - A, Capacite - 16 GB;0;;;2;Apple;53;0;3;2,3;Home,Refurbished;0;0;;;0.000000;200;1;200;229;229;229;0;;0.000000;0.00;18-A164061;;0.000000;0.000000;0.000000;0.000000;2;0;1;0;1;1;0000-00-00;used;1;1;both;0;0;0;4057;15/11/2017 15:59;26/01/2018 12:08;1;;;https://b2b-next.lesastucesdupro.info/en/refurbished/8-iphone-6s.html;http://b2b-next.lesastucesdupro.info/img/p/-large_default.jpg;iphone-6s;;;;;;
1;8;4062;iPhone 6s - Color - Space Gray, Version - A1633, Grade - A, Capacite - 32 GB;0;;;2;Apple;53;0;3;2,3;Home,Refurbished;0;0;;;0.000000;200;1;200;239;239;239;0;;0.000000;0.00;18-A164062;;0.000000;0.000000;0.000000;0.000000;2;0;1;0;1;1;0000-00-00;used;1;1;both;0;0;0;4057;15/11/2017 15:59;26/01/2018 12:08;1;;;https://b2b-next.lesastucesdupro.info/en/refurbished/8-iphone-6s.html;http://b2b-next.lesastucesdupro.info/img/p/-large_default.jpg;iphone-6s;;;;;;
1;8;4063;iPhone 6s - Color - Space Gray, Version - A1633, Grade - A, Capacite - 64 GB;0;;;2;Apple;53;0;3;2,3;Home,Refurbished;0;0;;;0.000000;200;1;200;249;249;249;0;;0.000000;0.00;18-A164063;;0.000000;0.000000;0.000000;0.000000;2;0;1;0;1;1;0000-00-00;used;1;1;both;0;0;0;4057;15/11/2017 15:59;26/01/2018 12:08;1;;;https://b2b-next.lesastucesdupro.info/en/refurbished/8-iphone-6s.html;http://b2b-next.lesastucesdupro.info/img/p/-large_default.jpg;iphone-6s;;;;;;
1;8;4064;iPhone 6s - Color - Space Gray, Version - A1633, Grade - A, Capacite - 128 GB;0;;;2;Apple;53;0;3;2,3;Home,Refurbished;0;0;;;0.000000;200;1;200;259;259;259;0;;0.000000;0.00;18-A164064;;0.000000;0.000000;0.000000;0.000000;2;0;1;0;1;1;0000-00-00;used;1;1;both;0;0;0;4057;15/11/2017 15:59;26/01/2018 12:08;1;;;https://b2b-next.lesastucesdupro.info/en/refurbished/8-iphone-6s.html;http://b2b-next.lesastucesdupro.info/img/p/-large_default.jpg;iphone-6s;;;;;;
1;8;4065;iPhone 6s - Color - Gold, Version - A1633, Grade - A, Capacite - 16 GB;0;;;2;Apple;53;0;3;2,3;Home,Refurbished;0;0;;;0.000000;200;1;200;229;229;229;0;;0.000000;0.00;18-A164065;;0.000000;0.000000;0.000000;0.000000;2;0;1;0;1;1;0000-00-00;used;1;1;both;0;0;0;4057;15/11/2017 15:59;26/01/2018 12:08;1;;;https://b2b-next.lesastucesdupro.info/en/refurbished/8-iphone-6s.html;http://b2b-next.lesastucesdupro.info/img/p/-large_default.jpg;iphone-6s;;;;;;
